Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical
North America,"535,351","+35,131","19,729","+2,063","34,234","481,388","11,908"
Europe,"820,104","+41,252","70,094","+4,276","196,782","553,228","30,232"
Asia,"274,564","+10,625","10,221",+324,"133,960","130,383","6,575"
South America,"44,976","+5,371","1,809",+194,"4,619","38,548",876
Oceania,"7,573",+96,55,+3,"3,515","4,003",79
Africa,"13,531",+651,697,+65,"2,234","10,600",153
,721,,13,,619,89,10
World,"1,696,820","+93,126","102,618","+6,925","375,963","1,218,239","49,833"
USA,"501,648","+33,082","18,675","+1,984","27,239","455,734","10,916"
Spain,"158,273","+5,051","16,081",+634,"55,668","86,524","7,371"
Italy,"147,577","+3,951","18,849",+570,"30,455","98,273","3,497"
France,"124,869","+7,120","13,197",+987,"24,932","86,740","7,004"
Germany,"122,171","+3,936","2,767",+160,"53,913","65,491","4,895"
UK,"73,758","+8,681","8,958",+980,344,"64,456","1,559"
Iran,"68,192","+1,972","4,232",+122,"35,465","28,495","3,969"
Turkey,"47,029","+4,747","1,006",+98,"2,423","43,600","1,667"
Belgium,"26,667","+1,684","3,019",+496,"5,568","18,080","1,278"
Switzerland,"24,551",+500,"1,002",+54,"11,100","12,449",386
Netherlands,"23,097","+1,335","2,511",+115,250,"20,336","1,424"
Canada,"22,108","+1,343",556,+47,"5,871","15,681",557
Brazil,"19,789","+1,644","1,068",+114,173,"18,548",296
Portugal,"15,472","+1,516",435,+26,233,"14,804",226
Austria,"13,555",+311,319,+24,"6,064","7,172",261
Russia,"11,917","+1,786",94,+18,795,"11,028",8
S. Korea,"10,450",+27,208,+4,"7,117","3,125",55
Israel,"10,408",+440,95,+9,"1,183","9,130",124
Sweden,"9,685",+544,870,+77,381,"8,434",749
Ireland,"8,089","+1,515",287,+24,25,"7,777",194
India,"7,598",+873,246,+19,774,"6,578",
Ecuador,"7,161","+2,196",297,+25,368,"6,496",171
Chile,"6,501",+529,65,+8,"1,571","4,865",70
Norway,"6,314",+95,113,+5,32,"6,169",70
Australia,"6,203",+51,53,+2,"3,141","3,009",74
Poland,"5,955",+380,181,+7,318,"5,456",160
Peru,"5,897",+641,169,+31,"1,569","4,159",130
Denmark,"5,819",+184,247,+10,"1,773","3,799",113
Czechia,"5,732",+163,119,+7,346,"5,267",98
Japan,"5,530",+183,99,,685,"4,746",109
Romania,"5,467",+265,270,+22,729,"4,468",183
Pakistan,"4,695",+206,66,+1,727,"3,902",45
Malaysia,"4,346",+118,70,+3,"1,830","2,446",69
Philippines,"4,195",+119,221,+18,140,"3,834",1
Saudi Arabia,"3,651",+364,47,+3,685,"2,919",57
Indonesia,"3,512",+219,306,+26,282,"2,924",
Mexico,"3,441",+260,194,+20,633,"2,614",89
UAE,"3,360",+370,16,+2,418,"2,926",1
Luxembourg,"3,223",+108,54,+2,500,"2,669",30
Serbia,"3,105",+238,71,+5,118,"2,916",136
Finland,"2,769",+164,48,+6,300,"2,421",82
Panama,"2,752",,66,,16,"2,670",107
Dominican Republic,"2,620",+271,126,+8,98,"2,396",147
Qatar,"2,512",+136,6,,227,"2,279",37
Colombia,"2,473",+250,80,+11,197,"2,196",85
Thailand,"2,473",+50,33,+1,"1,013","1,427",61
Ukraine,"2,203",+311,69,+12,61,"2,073",33
Singapore,"2,108",+198,7,+1,492,"1,609",29
Greece,"2,011",+56,92,+5,269,"1,650",77
South Africa,"2,003",+69,24,+6,410,"1,569",7
Belarus,"1,981",+495,19,+3,169,"1,793",72
Argentina,"1,975",+81,82,+3,375,"1,518",96
Egypt,"1,794",+95,135,+17,384,"1,275",
Algeria,"1,761",+95,256,+21,405,"1,100",46
Iceland,"1,675",+27,7,+1,751,917,11
Croatia,"1,495",+88,21,+1,231,"1,243",34
Morocco,"1,448",+74,107,+10,122,"1,219",1
Moldova,"1,438",+149,29,,56,"1,353",80
New Zealand,"1,283",+44,2,+1,373,908,5
Iraq,"1,279",+47,70,+1,550,659,
Estonia,"1,258",+51,24,,93,"1,141",9
Hungary,"1,190",+210,77,+11,112,"1,001",17
Slovenia,"1,160",+36,45,+2,137,978,36
Lithuania,999,+44,22,+6,54,923,14
Kuwait,993,+83,1,,123,869,26
Azerbaijan,991,+65,10,+1,159,822,27
